Título,Artista,Año,Comentario
"Bohemian Rhapsody","Queen",1975,"Una obra maestra atemporal que rompió todos los moldes de la música popular."
"Imagine","John Lennon",1971,"Un himno pacifista que sigue conmoviendo y desafiando a generaciones."
"Like a Rolling Stone","Bob Dylan",1965,"Letras crudas, sonido revolucionario. La canción que redefinió el rock."
"Smells Like Teen Spirit","Nirvana",1991,"La explosión del grunge. Una generación encontró su voz en este tema."
"What’s Going On","Marvin Gaye",1971,"Soul con mensaje. Protesta, dulzura y verdad en una misma melodía."
"La vie en rose","Édith Piaf",1947,"Pura emoción. Un viaje al corazón de la canción francesa."
"Redemption Song","Bob Marley & The Wailers",1980,"Espiritual, político, eterno. Un canto a la libertad personal y colectiva."
"A Day in the Life","The Beatles",1967,"Psicodelia, innovación y poesía en su máxima expresión."
"Hallelujah","Leonard Cohen",1984,"Melancólica y sagrada. Interpretada por muchos, pero imposible de superar en esencia."
"El Matador","Los Fabulosos Cadillacs",1993,"Ritmo, política y potencia latina. Un clásico del rock en español."
